year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views,date
2007,12,2998331524,2998331524,,,,,2007-12-01
2008,01,4930902570,4930902570,,,,,2008-01-01
2008,02,4818393763,4818393763,,,,,2008-02-01
2008,03,4955405809,4955405809,,,,,2008-03-01
2008,04,5159162183,5159162183,,,,,2008-04-01
2008,05,5584691092,5584691092,,,,,2008-05-01
2008,06,5712104279,5712104279,,,,,2008-06-01
2008,07,5306302874,5306302874,,,,,2008-07-01
2008,08,5140155519,5140155519,,,,,2008-08-01
2008,09,5479533823,5479533823,,,,,2008-09-01
2008,10,5679440782,5679440782,,,,,2008-10-01
2008,11,5415832071,5415832071,,,,,2008-11-01
2008,12,5211708451,5211708451,,,,,2008-12-01
2009,01,5802681551,5802681551,,,,,2009-01-01
2009,02,5547320860,5547320860,,,,,2009-02-01
2009,03,6295159057,6295159057,,,,,2009-03-01
2009,04,5988817321,5988817321,,,,,2009-04-01
2009,05,6267516733,6267516733,,,,,2009-05-01
2009,06,5818924182,5818924182,,,,,2009-06-01
2009,07,5801646978,5801646978,,,,,2009-07-01
2009,08,5790850384,5790850384,,,,,2009-08-01
2009,09,4057515768,4057515768,,,,,2009-09-01
2009,10,6016107147,6016107147,,,,,2009-10-01
2009,11,5768486910,5768486910,,,,,2009-11-01
2009,12,5426505977,5426505977,,,,,2009-12-01
2010,01,5703465285,5703465285,,,,,2010-01-01
2010,02,5762451418,5762451418,,,,,2010-02-01
2010,03,6661347946,6661347946,,,,,2010-03-01
2010,04,6618552152,6618552152,,,,,2010-04-01
2010,05,6410578775,6410578775,,,,,2010-05-01
2010,06,4898035014,4898035014,,,,,2010-06-01
2010,07,5296177638,5296177638,,,,,2010-07-01
2010,08,7381346660,7381346660,,,,,2010-08-01
2010,09,7546488744,7546488744,,,,,2010-09-01
2010,10,10172844562,10172844562,,,,,2010-10-01
2010,11,6948678354,6948678354,,,,,2010-11-01
2010,12,7001952100,7001952100,,,,,2010-12-01
2011,01,7568511227,7568511227,,,,,2011-01-01
2011,02,6906248849,6906248849,,,,,2011-02-01
2011,03,7326545928,7326545928,,,,,2011-03-01
2011,04,6835492088,6835492088,,,,,2011-04-01
2011,05,7009799378,7009799378,,,,,2011-05-01
2011,06,6536675534,6536675534,,,,,2011-06-01
2011,07,6571730164,6571730164,,,,,2011-07-01
2011,08,6514500361,6514500361,,,,,2011-08-01
2011,09,5837738935,5837738935,,,,,2011-09-01
2011,10,6974424665,6974424665,,,,,2011-10-01
